PBS at Day,Placement,,,1,,,2,,,3,,,4,,,5,,,6,,,7,,,8,,,9,,,10,,,11,,,12,,,13,,,14,,,15,,,16,,
SUBJECT,Head,Torso,TBS,Head,Torso,TBS,Head,Torso,TBS,Head,Torso,TBS,Head,Torso,TBS,Head,Torso,TBS,Head,Torso,TBS,Head,Torso,TBS,Head,Torso,TBS,Head,Torso,TBS,Head ,Torso ,TBS,Head,Torso,TBS,Head,Torso,TBS,Head,Torso,TBS,Head ,Torso,TBS,Head,Torso,TBS,Head,Torso,TBS
1D10,A1,A1,2,B2,B2,6,B3,B3,8,C1,B4,10,C1,B4,10,C2,B4,11,C2,C1,12,C3,C2,14,C3,C2,14,C4,C2,15,C4,C2,15,C4,C2,15,C4,C3,16,C4,C3,16,C4,C3,16,C4,C3,16,C4,C3,16
1BA1,A1,A1,2,B1,B2,5,B2,B3,7,C1,B3,9,C1,B4,10,C1,B4,10,C2,C1,12,C3,C1,13,C3,C1,13,C3,C2,14,C3,C2,14,C3,C3,15,C4,C3,16,C4,C3,16,C4,C3,16,C4,C3,16,C4,C3,16
1BA2,A1,A1,2,B2,B1,5,B3,B3,8,C1,B3,9,C1,B4,10,C1,B4,10,C1,B4,10,C2,C1,12,C2,C1,12,C2,C1,12,C3,C2,14,C4,C2,15,C4,C2,15,C4,C2,15,C4,C2,15,C4,C3,16,C4,C3,16
1BA3,A1,A1,2,B2,B2,6,B3,B3,8,B3,B4,9,B3,B4,9,B3,B4,9,C1,B4,10,C1,C1,11,C1,C1,11,C2,C2,13,C2,C2,13,C3,C2,14,C3,C2,14,C4,C3,16,C4,C3,16,C4,C3,16,C4,C3,16
1BA4,A1,A1,2,B1,B1,4,B2,B2,6,B3,B3,8,B3,B3,8,B3,B4,9,C1,C1,11,C2,C1,12,C2,C2,13,C2,C2,13,C3,C2,14,C4,C2,15,C4,C2,15,C4,C3,16,C4,C3,16,C4,C3,16,C4,C3,16
1BA5,A1,A1,2,B2,B3,7,B3,B3,8,C1,B4,10,C1,B4,10,C2,C1,12,C2,C1,12,C2,C1,12,C2,C2,13,C3,C2,14,C3,C2,14,C3,C2,14,C4,C2,15,C4,C2,15,C4,C3,16,C4,C3,16,C4,C3,16
1BA6,A1,A1,2,B2,B2,6,B2,B3,7,B3,B3,8,B3,B4,9,C1,C1,11,C1,C1,11,C2,C2,13,C2,C2,13,C3,C2,14,C3,C2,14,C3,C2,14,C3,C2,14,C4,C2,15,C4,C3,16,C4,C3,16,C4,C3,16
1BA7,A1,A1,2,B2,B1,5,B2,B3,7,B3,B3,8,B3,B4,9,B3,B4,9,C1,B4,10,C1,C1,11,C1,C1,11,C2,C2,13,C2,C2,13,C3,C2,14,C3,C3,15,C4,C3,16,C4,C3,16,C4,C3,16,C4,C3,16
1BA8,A1,A1,2,B1,B2,5,B2,B3,7,B3,B3,8,B3,B3,8,C1,B3,9,C2,B4,11,C2,B4,11,C2,C1,12,C3,C1,13,C3,C1,13,C3,C1,13,C3,C2,14,C3,C2,14,C3,C2,14,C3,C2,14,C3,C2,14
1BA9,A1,A1,2,B2,B2,6,B2,B3,7,B3,B3,8,B3,B4,9,B3,B4,9,C1,C1,11,C1,C1,11,C1,C2,12,C2,C2,13,C2,C2,13,C2,C2,13,C3,C2,14,C3,C2,14,C3,C3,15,C4,C3,16,C4,C3,16
1BA10,A1,A1,2,B2,B3,7,B3,B4,9,B3,B4,9,B3,C1,10,B3,C1,10,C1,C1,11,C2,C2,13,C2,C2,13,C3,C2,14,C3,C2,14,C3,C3,15,C4,C3,16,C4,C3,16,C4,C3,16,C4,C3,16,C4,C3,16
1CA1,A1,A1,2,B2,B2,6,B3,B3,8,B3,B4,9,C1,B4,10,C2,C1,12,C2,C1,12,C2,C2,13,C2,C2,13,C3,C2,14,C3,C3,15,C3,C3,15,C4,C3,16,C4,C3,16,C4,C3,16,C4,C3,16,C4,C3,16
1CA2,A1,A1,2,B2,B2,6,B2,B3,7,B3,B4,9,B3,B4,9,C1,C1,11,C1,C1,11,C1,C1,11,C2,C2,13,C2,C2,13,C3,C2,14,C4,C2,14,C4,C2,16,C4,C3,16,C4,C3,16,C4,C3,16,C4,C3,16
1CA3,A1,A1,2,B2,B1,5,B3,B2,7,B3,B3,8,C1,B3,9,C1,B4,10,C1,C1,11,C1,C1,11,C2,C1,12,C2,C2,13,C3,C2,14,C3,C2,14,C4,C3,16,C4,C3,16,C4,C3,16,C4,C3,16,C4,C3,16
1CA4,A1,A1,2,B2,B1,5,B2,B2,6,B3,B3,8,C1,B4,10,C1,C1,11,C2,C1,12,C3,C2,14,C3,C2,14,C3,C2,14,C3,C2,14,C3,C2,14,C4,C3,16,C4,C3,16,C4,C3,16,C4,C3,16,C4,C3,16
1CA5,A1,A1,2,A1,B1,3,B1,B2,5,C1,B3,9,C1,B4,10,C2,C1,12,C2,C1,12,C3,C2,14,C3,C2,14,C4,C2,15,C4,C2,15,C4,C2,15,C4,C3,16,C4,C3,16,C4,C3,16,C4,C3,16,C4,C3,16
1CA6,A1,A1,2,B2,B2,6,B3,B3,8,B3,B3,8,B3,B4,9,C2,B4,11,C2,C1,12,C3,C1,13,C3,C1,13,C4,C2,15,C4,C2,15,C4,C3,16,C4,C3,16,C4,C3,16,C4,C3,16,C4,C3,16,C4,C3,16
1CA7,A1,A1,2,B2,B2,6,B2,B3,7,B3,B3,8,C1,B4,10,C1,B4,10,C1,C1,11,C2,C1,12,C3,C1,13,C4,C1,14,C4,C2,15,C4,C2,15,C4,C3,16,C4,C3,16,C4,C3,16,C4,C3,16,C4,C3,16
1CA8,A1,A1,2,B2,B3,7,C1,B4,10,C2,B4,11,C2,C1,12,C3,C1,13,C3,C2,14,C4,C2,15,C4,C3,16,C4,C3,16,C4,C3,16,C4,C3,16,C4,C3,16,C4,C3,16,C4,C3,16,C4,C3,16,C4,C3,16
1CA9,A1,A1,2,B2,B2,6,B2,B3,7,B3,B4,9,B3,B4,9,B3,B4,9,C2,C1,12,C2,C1,12,C2,C2,13,C3,C2,14,C3,C2,14,C4,C2,15,C4,C2,15,C4,C2,15,C4,C3,16,C4,C3,16,C4,C3,16
