PBS at Day,Placement,,,1,,,2,,,3,,,4,,,5,,,6,,,7,,,8,,,9,,,10,,,11,,,12,,,13,,,14,,,15,,,16,,
SUBJECT,Head,Torso,TBS,Head,Torso,TBS,Head,Torso,TBS,Head,Torso,TBS,Head,Torso,TBS,Head,Torso,TBS,Head,Torso,TBS,Head,Torso,TBS,Head,Torso,TBS,Head,Torso,TBS,Head ,Torso ,TBS,Head,Torso,TBS,Head,Torso,TBS,Head,Torso,TBS,Head ,Torso,TBS,Head,Torso,TBS,Head,Torso,TBS
1C1,A1,A1,2,B2,B2,6,B3,B3,8,B3,B3,8,C1,B4,10,C1,B4,10,C2,B4,11,C2,C2,13,C3,C2,14,C3,C2,14,C3,C2,14,C3,C2,14,C4,C3,16,C4,C3,16,C4,C3,16,C4,C3,16,C4,C3,16
1C2,A1,A1,2,A1,B2,4,B1,B3,6,B2,B3,7,B3,B4,9,B3,B4,9,C1,B4,10,C1,C1,11,C2,C1,12,C2,C1,12,C3,C1,13,C3,C1,13,C3,C2,14,C4,C2,15,C4,C2,15,C4,C2,15,C4,C3,16
1C3,A1,A1,2,B1,B2,5,B2,B2,6,B3,B3,8,B3,B3,8,C1,B4,10,C1,B4,10,C1,C1,11,C2,C1,12,C2,C2,13,C3,C2,14,C3,C2,14,C3,C2,14,C3,C2,14,C3,C2,14,C4,C3,16,C4,C3,16
1C4,A1,A1,2,B1,B1,4,B2,B2,6,B3,B3,8,B3,B3,8,C1,B3,9,C1,B4,10,C1,B4,10,C2,C1,12,C2,C2,13,C2,C2,13,C3,C2,14,C3,C2,14,C3,C3,15,C4,C3,16,C4,C3,16,C4,C3,16
1C5,A1,A1,2,B2,B2,6,B3,B3,8,B3,B4,9,C1,B4,10,C1,B4,10,C2,C1,12,C2,C1,12,C2,C1,12,C3,C2,14,C3,C2,14,C3,C2,14,C4,C3,16,C4,C3,16,C4,C3,16,C4,C3,16,C4,C3,16
1C6,A1,A1,2,B1,B2,5,B2,B3,7,B3,B3,8,B3,B3,8,B3,B4,9,C1,B4,10,C2,C1,12,C2,C1,12,C2,C2,13,C2,C2,13,C2,C2,13,C3,C2,14,C3,C2,14,C4,C3,16,C4,C3,16,C4,C3,16
1C7,A1,A1,2,B2,B2,6,B2,B3,7,B3,B3,8,B3,B4,9,C1,C1,11,C1,C1,11,C2,C2,13,C3,C2,14,C3,C2,14,C3,C2,14,C4,C2,15,C4,C3,16,C4,C3,16,C4,C3,16,C4,C3,16,C4,C3,16
1C8,A1,A1,2,B2,B2,6,B2,B3,7,B3,B3,8,C1,B4,10,C1,B4,10,C1,C1,11,C2,C1,12,C2,C2,13,C3,C2,14,C4,C2,15,C4,C2,15,C4,C3,16,C4,C3,16,C4,C3,16,C4,C3,16,C4,C3,16
1C9,A1,A1,2,B1,B1,4,B3,B2,7,B3,B3,8,C1,B4,10,C1,B4,10,C2,C1,12,C2,C2,13,C2,C2,13,C3,C2,14,C3,C2,14,C4,C2,15,C4,C3,16,C4,C3,16,C4,C3,16,C4,C3,16,C4,C3,16
1C10,A1,A1,2,B2,B2,6,B3,B3,8,C1,B4,10,C1,B4,10,C2,C1,12,C2,C1,12,C3,C2,14,C4,C2,15,C4,C2,15,C4,C2,15,C4,C2,15,C4,C3,16,C4,C3,16,C4,C3,16,C4,C3,16,C4,C3,16
1D1,A1,A1,2,B1,B2,5,B1,B2,5,B2,B3,6,B3,B3,8,C1,B4,10,C1,B4,10,C2,C1,12,C2,C1,12,C2,C1,12,C2,C1,12,C3,C2,14,C3,C2,14,C4,C2,15,C4,C2,15,C4,C3,16,C4,C3,16
1D2,A1,A1,2,B1,B1,4,B2,B2,6,B3,B3,8,C1,B4,10,C1,B4,10,C1,C1,11,C1,C1,11,C2,C2,13,C2,C2,13,C3,C2,14,C3,C2,14,C3,C3,15,C4,C3,16,C4,C3,16,C4,C3,16,C4,C3,16
1D3,A1,A1,2,B1,B2,5,B2,B3,7,B2,B3,7,B2,B4,8,B3,B4,9,C1,B4,10,C1,C1,11,C1,C1,11,C2,C2,13,C2,C2,13,C2,C2,13,C3,C3,15,C3,C3,15,C3,C3,15,C3,C3,15,C4,C3,16
1D4,A1,A1,2,B2,B2,6,B3,B3,8,B3,B3,8,C1,B3,9,C1,B4,10,C2,C1,12,C2,C1,12,C2,C2,13,C3,C2,14,C3,C2,14,C3,C2,14,C4,C2,15,C4,C3,16,C4,C3,16,C4,C3,16,C4,C3,16
1D5,A1,A1,2,B1,B1,4,B2,B2,6,C1,B3,9,C1,B4,10,C2,B4,11,C3,C1,13,C3,C1,13,C4,C1,14,C4,C2,15,C4,C2,15,C4,C2,15,C4,C2,15,C4,C2,15,C4,C2,15,C4,C3,16,C4,C3,16
1D6,A1,A1,2,B2,B2,6,B3,B2,7,B3,B3,8,C1,B4,10,C1,B4,10,C2,C1,12,C2,C1,12,C2,C2,13,C3,C2,14,C3,C2,14,C3,C2,14,C3,C2,14,C3,C2,14,C3,C2,14,C4,C3,16,C4,C3,16
1D7,A1,A1,2,B2,B2,6,B3,B3,8,C1,B4,10,C2,C1,11,C2,C1,11,C3,C2,14,C3,C2,14,C3,C2,14,C4,C3,16,C4,C3,16,C4,C3,16,C4,C3,16,C4,C3,16,C4,C3,16,C4,C3,16,C4,C3,16
1D8,A1,A1,2,B1,B2,5,B2,B3,7,B3,B3,8,C1,B3,9,C1,B4,10,C1,C1,11,C2,C1,12,C2,C2,13,C3,C2,14,C3,C2,14,C3,C2,14,C3,C3,15,C4,C3,16,C4,C3,16,C4,C3,16,C4,C3,16
1D9,A1,A1,2,B1,B1,4,B2,B2,6,B3,B3,8,B3,B4,9,C1,C1,11,C2,C1,12,C3,C2,14, C3,C2,14,C4,C3,16,C4,C3,16,C4,C3,16,C4,C3,16,C4,C3,16,C4,C3,16,C4,C3,16,C4,C3,16
